# Adobe-Japan1 IVSes
3402 E0100; Adobe-Japan1;CID+2447
3DC0 E0100; Adobe-Japan1;CID+2542
3DCC E0100; Adobe-Japan1;CID+2543
3DD4 E0100; Adobe-Japan1;CID+2544
3E05 E0100; Adobe-Japan1;CID+2545
3E3F E0100; Adobe-Japan1;CID+2546
3E40 E0100; Adobe-Japan1;CID+2547
3E60 E0100; Adobe-Japan1;CID+2548
3E66 E0100; Adobe-Japan1;CID+2549
3E68 E0100; Adobe-Japan1;CID+2550
3E83 E0100; Adobe-Japan1;CID+2551
3E8A E0100; Adobe-Japan1;CID+2552
3E94 E0100; Adobe-Japan1;CID+2553
3EDA E0100; Adobe-Japan1;CID+2554
3F57 E0100; Adobe-Japan1;CID+2555
3F72 E0100; Adobe-Japan1;CID+2556
3F75 E0100; Adobe-Japan1;CID+2557
3F77 E0100; Adobe-Japan1;CID+2558
3FAE E0100; Adobe-Japan1;CID+2559
3FB1 E0100; Adobe-Japan1;CID+2560
3FC9 E0100; Adobe-Japan1;CID+2561
3FD7 E0100; Adobe-Japan1;CID+2562
3FDC E0100; Adobe-Japan1;CID+2563
4039 E0100; Adobe-Japan1;CID+2564
4058 E0100; Adobe-Japan1;CID+2565
4093 E0100; Adobe-Japan1;CID+2566
4103 E0100; Adobe-Japan1;CID+2567
4105 E0100; Adobe-Japan1;CID+2568
4148 E0100; Adobe-Japan1;CID+2569
414F E0100; Adobe-Japan1;CID+2570
4163 E0100; Adobe-Japan1;CID+2571
41B4 E0100; Adobe-Japan1;CID+2572
41BF E0100; Adobe-Japan1;CID+2573
41E6 E0100; Adobe-Japan1;CID+2574
41EE E0100; Adobe-Japan1;CID+2575
41F3 E0100; Adobe-Japan1;CID+2576
4207 E0100; Adobe-Japan1;CID+2577
420E E0100; Adobe-Japan1;CID+2578
4264 E0100; Adobe-Japan1;CID+2579
4293 E0100; Adobe-Japan1;CID+2580
42C6 E0100; Adobe-Japan1;CID+2581
42D6 E0100; Adobe-Japan1;CID+2582
42DD E0100; Adobe-Japan1;CID+2583
4302 E0100; Adobe-Japan1;CID+2584
432B E0100; Adobe-Japan1;CID+2585
4343 E0100; Adobe-Japan1;CID+2586
43EE E0100; Adobe-Japan1;CID+2587
43F0 E0100; Adobe-Japan1;CID+2588
4408 E0100; Adobe-Japan1;CID+2589
440C E0100; Adobe-Japan1;CID+2590
4417 E0100; Adobe-Japan1;CID+2591
441C E0100; Adobe-Japan1;CID+2592
4422 E0100; Adobe-Japan1;CID+2593
4453 E0100; Adobe-Japan1;CID+2594
445B E0100; Adobe-Japan1;CID+2595
4476 E0100; Adobe-Japan1;CID+2596
447A E0100; Adobe-Japan1;CID+2597
4491 E0100; Adobe-Japan1;CID+2598
44B3 E0100; Adobe-Japan1;CID+2599
44BE E0100; Adobe-Japan1;CID+2600
44D4 E0100; Adobe-Japan1;CID+2601
4508 E0100; Adobe-Japan1;CID+2602
450D E0100; Adobe-Japan1;CID+2603
4525 E0100; Adobe-Japan1;CID+2604
4543 E0100; Adobe-Japan1;CID+2605
457A E0100; Adobe-Japan1;CID+2606
459D E0100; Adobe-Japan1;CID+2607
45B8 E0100; Adobe-Japan1;CID+2608
45BE E0100; Adobe-Japan1;CID+2609
45E5 E0100; Adobe-Japan1;CID+2610
45EA E0100; Adobe-Japan1;CID+2611
460F E0100; Adobe-Japan1;CID+2612
4610 E0100; Adobe-Japan1;CID+2613
4641 E0100; Adobe-Japan1;CID+2614
4665 E0100; Adobe-Japan1;CID+2615
46A1 E0100; Adobe-Japan1;CID+2616
46AE E0100; Adobe-Japan1;CID+2617
46AF E0100; Adobe-Japan1;CID+2618
470C E0100; Adobe-Japan1;CID+2619
471F E0100; Adobe-Japan1;CID+2620
4764 E0100; Adobe-Japan1;CID+2621
47E6 E0100; Adobe-Japan1;CID+2622
47FD E0100; Adobe-Japan1;CID+2623
4816 E0100; Adobe-Japan1;CID+2624
481E E0100; Adobe-Japan1;CID+2625
4844 E0100; Adobe-Japan1;CID+2626
484E E0100; Adobe-Japan1;CID+2627
48B5 E0100; Adobe-Japan1;CID+2628
49B0 E0100; Adobe-Japan1;CID+2629
49E7 E0100; Adobe-Japan1;CID+2630
49FA E0100; Adobe-Japan1;CID+2631
4A04 E0100; Adobe-Japan1;CID+2632
4A29 E0100; Adobe-Japan1;CID+2633
4ABC E0100; Adobe-Japan1;CID+2634
4B38 E0100; Adobe-Japan1;CID+2635
4B3B E0100; Adobe-Japan1;CID+2636
4B7E E0100; Adobe-Japan1;CID+2637
4BC2 E0100; Adobe-Japan1;CID+2638
4BCA E0100; Adobe-Japan1;CID+2639
4BD2 E0100; Adobe-Japan1;CID+2640
4BE8 E0100; Adobe-Japan1;CID+2641
4C17 E0100; Adobe-Japan1;CID+2642
4C20 E0100; Adobe-Japan1;CID+2643
4C38 E0100; Adobe-Japan1;CID+2644
4CC4 E0100; Adobe-Japan1;CID+2645
4CD1 E0100; Adobe-Japan1;CID+2646
4CE1 E0100; Adobe-Japan1;CID+2647
4D07 E0100; Adobe-Japan1;CID+2648
4D77 E0100; Adobe-Japan1;CID+2649
4E00 E0100; Adobe-Japan1;CID+2650
4E01 E0100; Adobe-Japan1;CID+2651
4E02 E0100; Adobe-Japan1;CID+2652
4E03 E0100; Adobe-Japan1;CID+2653
4E04 E0100; Adobe-Japan1;CID+2654
4E05 E0100; Adobe-Japan1;CID+2655
4E07 E0100; Adobe-Japan1;CID+2656
4E08 E0100; Adobe-Japan1;CID+2657
4E08 E0101; Adobe-Japan1;CID+16584
4E09 E0100; Adobe-Japan1;CID+2658
4E0A E0100; Adobe-Japan1;CID+2659
4E0B E0100; Adobe-Japan1;CID+2660
4E0C E0100; Adobe-Japan1;CID+2661
4E0D E0100; Adobe-Japan1;CID+2662
4E0E E0100; Adobe-Japan1;CID+2663
4E0E E0101; Adobe-Japan1;CID+16585
4E0F E0100; Adobe-Japan1;CID+2664
4E10 E0100; Adobe-Japan1;CID+2665
4E11 E0100; Adobe-Japan1;CID+2666
4E12 E0100; Adobe-Japan1;CID+2667
4E14 E0100; Adobe-Japan1;CID+2668
4E15 E0100; Adobe-Japan1;CID+2669
4E16 E0100; Adobe-Japan1;CID+2670
4E17 E0100; Adobe-Japan1;CID+2671
4E18 E0100; Adobe-Japan1;CID+2672
4E19 E0100; Adobe-Japan1;CID+2673
4E19 E0101; Adobe-Japan1;CID+16586
4E1E E0100; Adobe-Japan1;CID+2674
4E1F E0100; Adobe-Japan1;CID+2675
4E21 E0100; Adobe-Japan1;CID+2676
4E23 E0100; Adobe-Japan1;CID+2677
4E24 E0100; Adobe-Japan1;CID+2678
4E26 E0100; Adobe-Japan1;CID+2679
4E26 E0101; Adobe-Japan1;CID+16587
4E28 E0100; Adobe-Japan1;CID+2680
4E29 E0100; Adobe-Japan1;CID+2681
4E2A E0100; Adobe-Japan1;CID+2682
4E2B E0100; Adobe-Japan1;CID+2683
4E2C E0100; Adobe-Japan1;CID+2684
4E2D E0100; Adobe-Japan1;CID+2685
4E2E E0100; Adobe-Japan1;CID+2686
4E2F E0100; Adobe-Japan1;CID+2687
4E30 E0100; Adobe-Japan1;CID+2688
4E30 E0101; Adobe-Japan1;CID+16588
4E31 E0100; Adobe-Japan1;CID+2689
4E32 E0100; Adobe-Japan1;CID+2690
4E35 E0100; Adobe-Japan1;CID+2691
4E36 E0100; Adobe-Japan1;CID+2692
4E37 E0100; Adobe-Japan1;CID+2693
4E38 E0100; Adobe-Japan1;CID+2694
4E39 E0100; Adobe-Japan1;CID+2695
4E39 E0101; Adobe-Japan1;CID+16589
4E3B E0100; Adobe-Japan1;CID+2696
4E3B E0101; Adobe-Japan1;CID+16590
4E3C E0100; Adobe-Japan1;CID+2697
4E3F E0100; Adobe-Japan1;CID+2698
4E40 E0100; Adobe-Japan1;CID+2699
4E41 E0100; Adobe-Japan1;CID+2700
4E42 E0100; Adobe-Japan1;CID+2701
4E43 E0100; Adobe-Japan1;CID+2702
4E44 E0100; Adobe-Japan1;CID+2703
4E45 E0100; Adobe-Japan1;CID+2704
4E47 E0100; Adobe-Japan1;CID+2705
4E48 E0100; Adobe-Japan1;CID+2706
4E4B E0100; Adobe-Japan1;CID+2707
4E4D E0100; Adobe-Japan1;CID+2708
4E4E E0100; Adobe-Japan1;CID+2709
4E4F E0100; Adobe-Japan1;CID+2710
4E51 E0100; Adobe-Japan1;CID+2711
4E55 E0100; Adobe-Japan1;CID+2712
4E56 E0100; Adobe-Japan1;CID+2713
4E57 E0100; Adobe-Japan1;CID+2714
4E58 E0100; Adobe-Japan1;CID+2715
4E59 E0100; Adobe-Japan1;CID+2716
4E5A E0100; Adobe-Japan1;CID+2717
4E5C E0100; Adobe-Japan1;CID+2719
4E5D E0100; Adobe-Japan1;CID+2720
4E5E E0100; Adobe-Japan1;CID+2721
4E5F E0100; Adobe-Japan1;CID+2722
4E62 E0100; Adobe-Japan1;CID+2723
4E63 E0100; Adobe-Japan1;CID+2724
4E68 E0100; Adobe-Japan1;CID+2725
4E69 E0100; Adobe-Japan1;CID+2726
4E71 E0100; Adobe-Japan1;CID+2727
4E73 E0100; Adobe-Japan1;CID+2728
4E73 E0101; Adobe-Japan1;CID+16591
4E74 E0100; Adobe-Japan1;CID+2729
4E75 E0100; Adobe-Japan1;CID+2730
4E79 E0100; Adobe-Japan1;CID+2731
4E7E E0100; Adobe-Japan1;CID+2732
4E7F E0100; Adobe-Japan1;CID+2733
4E80 E0100; Adobe-Japan1;CID+2734
4E82 E0100; Adobe-Japan1;CID+2735
4E85 E0100; Adobe-Japan1;CID+2736
4E86 E0100; Adobe-Japan1;CID+2737
4E88 E0100; Adobe-Japan1;CID+2738
4E89 E0100; Adobe-Japan1;CID+2739
4E8A E0100; Adobe-Japan1;CID+2740
4E8B E0100; Adobe-Japan1;CID+2741
4E8C E0100; Adobe-Japan1;CID+2742
4E8D E0100; Adobe-Japan1;CID+2743
4E8E E0100; Adobe-Japan1;CID+2744
4E91 E0100; Adobe-Japan1;CID+2745
4E92 E0100; Adobe-Japan1;CID+2746
4E94 E0100; Adobe-Japan1;CID+2747
4E95 E0100; Adobe-Japan1;CID+2748
4E96 E0100; Adobe-Japan1;CID+2749
4E97 E0100; Adobe-Japan1;CID+2750
4E98 E0100; Adobe-Japan1;CID+2751
4E99 E0100; Adobe-Japan1;CID+2752
4E9B E0100; Adobe-Japan1;CID+2753
4E9C E0100; Adobe-Japan1;CID+2754
4E9D E0100; Adobe-Japan1;CID+2755
4E9E E0100; Adobe-Japan1;CID+2756
4E9F E0100; Adobe-Japan1;CID+2757
4EA0 E0100; Adobe-Japan1;CID+2758
4EA1 E0100; Adobe-Japan1;CID+2759
4EA1 E0101; Adobe-Japan1;CID+16592
4EA2 E0100; Adobe-Japan1;CID+2760
4EA4 E0100; Adobe-Japan1;CID+2761
4EA4 E0101; Adobe-Japan1;CID+16593
4EA5 E0100; Adobe-Japan1;CID+2762
4EA6 E0100; Adobe-Japan1;CID+2763
4EA8 E0100; Adobe-Japan1;CID+2764
4EAB E0100; Adobe-Japan1;CID+2765
4EAC E0100; Adobe-Japan1;CID+2766
4EAD E0100; Adobe-Japan1;CID+2767
4EAE E0100; Adobe-Japan1;CID+2768
4EAF E0100; Adobe-Japan1;CID+2769
4EB0 E0100; Adobe-Japan1;CID+2770
4EB3 E0100; Adobe-Japan1;CID+2771
4EB6 E0100; Adobe-Japan1;CID+2772
4EB9 E0100; Adobe-Japan1;CID+2773
4EBA E0100; Adobe-Japan1;CID+2774
4EBB E0100; Adobe-Japan1;CID+2775
4EBC E0100; Adobe-Japan1;CID+2776
4EC0 E0100; Adobe-Japan1;CID+2777
4EC1 E0100; Adobe-Japan1;CID+2778
4EC2 E0100; Adobe-Japan1;CID+2779
4EC3 E0100; Adobe-Japan1;CID+2780
4EC4 E0100; Adobe-Japan1;CID+2781
4EC6 E0100; Adobe-Japan1;CID+2782
4EC7 E0100; Adobe-Japan1;CID+2783
4EC8 E0100; Adobe-Japan1;CID+2784
4ECA E0100; Adobe-Japan1;CID+2785
4ECA E0101; Adobe-Japan1;CID+16343
4ECB E0100; Adobe-Japan1;CID+2786
4ECD E0100; Adobe-Japan1;CID+2787
4ECE E0100; Adobe-Japan1;CID+2788
4ECF E0100; Adobe-Japan1;CID+2789
4ED0 E0100; Adobe-Japan1;CID+2790
4ED4 E0100; Adobe-Japan1;CID+2791
4ED5 E0100; Adobe-Japan1;CID+2792
4ED6 E0100; Adobe-Japan1;CID+2793
4ED7 E0100; Adobe-Japan1;CID+2794
4ED8 E0100; Adobe-Japan1;CID+2795
4ED9 E0100; Adobe-Japan1;CID+2796
4EDA E0100; Adobe-Japan1;CID+2797
4EDB E0100; Adobe-Japan1;CID+2798
4EDD E0100; Adobe-Japan1;CID+2799
4EDE E0100; Adobe-Japan1;CID+2800
4EDF E0100; Adobe-Japan1;CID+2801
4EE0 E0100; Adobe-Japan1;CID+2802
4EE1 E0100; Adobe-Japan1;CID+2803
4EE2 E0100; Adobe-Japan1;CID+2804
4EE3 E0100; Adobe-Japan1;CID+2805
4EE4 E0100; Adobe-Japan1;CID+2806
4EE5 E0100; Adobe-Japan1;CID+2807
4EE8 E0100; Adobe-Japan1;CID+2808
4EEB E0100; Adobe-Japan1;CID+2809
4EED E0100; Adobe-Japan1;CID+2810
4EEE E0100; Adobe-Japan1;CID+2811
4EEF E0100; Adobe-Japan1;CID+2812
4EF0 E0100; Adobe-Japan1;CID+2813
4EF1 E0100; Adobe-Japan1;CID+2814
4EF2 E0100; Adobe-Japan1;CID+2815
4EF3 E0100; Adobe-Japan1;CID+2816
4EF5 E0100; Adobe-Japan1;CID+2817
4EF6 E0100; Adobe-Japan1;CID+2818
4EF7 E0100; Adobe-Japan1;CID+2819
4EFB E0100; Adobe-Japan1;CID+2820
4EFC E0100; Adobe-Japan1;CID+2821
4EFD E0100; Adobe-Japan1;CID+2822
4EFE E0100; Adobe-Japan1;CID+2823
4EFF E0100; Adobe-Japan1;CID+2824
4F00 E0100; Adobe-Japan1;CID+2825
4F01 E0100; Adobe-Japan1;CID+2826
4F02 E0100; Adobe-Japan1;CID+2827
4F03 E0100; Adobe-Japan1;CID+2828
4F08 E0100; Adobe-Japan1;CID+2829
4F09 E0100; Adobe-Japan1;CID+2830
4F0A E0100; Adobe-Japan1;CID+2831
4F0B E0100; Adobe-Japan1;CID+2832
4F0C E0100; Adobe-Japan1;CID+2833
4F0D E0100; Adobe-Japan1;CID+2834
4F0E E0100; Adobe-Japan1;CID+2835
4F0F E0100; Adobe-Japan1;CID+2836
4F10 E0100; Adobe-Japan1;CID+2837
4F11 E0100; Adobe-Japan1;CID+2838
4F12 E0100; Adobe-Japan1;CID+2839
4F15 E0100; Adobe-Japan1;CID+2840
4F16 E0100; Adobe-Japan1;CID+2841
4F17 E0100; Adobe-Japan1;CID+2842
4F19 E0100; Adobe-Japan1;CID+2843
4F1A E0100; Adobe-Japan1;CID+2844
4F1C E0100; Adobe-Japan1;CID+2845
4F1D E0100; Adobe-Japan1;CID+2846
4F2B E0100; Adobe-Japan1;CID+2847
4F2E E0100; Adobe-Japan1;CID+2848
4F2F E0100; Adobe-Japan1;CID+2849
4F30 E0100; Adobe-Japan1;CID+2850
4F31 E0100; Adobe-Japan1;CID+2851
4F33 E0100; Adobe-Japan1;CID+2852
4F34 E0100; Adobe-Japan1;CID+2853
4F34 E0101; Adobe-Japan1;CID+16594
4F35 E0100; Adobe-Japan1;CID+2854
4F36 E0100; Adobe-Japan1;CID+2855
4F37 E0100; Adobe-Japan1;CID+2856
4F38 E0100; Adobe-Japan1;CID+2857
4F39 E0100; Adobe-Japan1;CID+2858
4F3A E0100; Adobe-Japan1;CID+2859
4F3B E0100; Adobe-Japan1;CID+2860
4F3C E0100; Adobe-Japan1;CID+2861
4F3D E0100; Adobe-Japan1;CID+2862
4F3E E0100; Adobe-Japan1;CID+2863
4F40 E0100; Adobe-Japan1;CID+2864
4F42 E0100; Adobe-Japan1;CID+2865
4F43 E0100; Adobe-Japan1;CID+2866
4F46 E0100; Adobe-Japan1;CID+2867
4F47 E0100; Adobe-Japan1;CID+2868
4F48 E0100; Adobe-Japan1;CID+2869
4F49 E0100; Adobe-Japan1;CID+2870
4F4B E0100; Adobe-Japan1;CID+2871
4F4C E0100; Adobe-Japan1;CID+2872
4F4D E0100; Adobe-Japan1;CID+2873
4F4E E0100; Adobe-Japan1;CID+2874
4F4F E0100; Adobe-Japan1;CID+2875
4F4F E0101; Adobe-Japan1;CID+16595
4F50 E0100; Adobe-Japan1;CID+2876
4F51 E0100; Adobe-Japan1;CID+2877
4F52 E0100; Adobe-Japan1;CID+2878
4F53 E0100; Adobe-Japan1;CID+2879
4F54 E0100; Adobe-Japan1;CID+2880
4F55 E0100; Adobe-Japan1;CID+2881
4F56 E0100; Adobe-Japan1;CID+2882
4F57 E0100; Adobe-Japan1;CID+2883
4F58 E0100; Adobe-Japan1;CID+2884
4F59 E0100; Adobe-Japan1;CID+2885
4F5A E0100; Adobe-Japan1;CID+2886
4F5B E0100; Adobe-Japan1;CID+2887
4F5C E0100; Adobe-Japan1;CID+2888
4F5D E0100; Adobe-Japan1;CID+2889
4F5E E0100; Adobe-Japan1;CID+2890
4F5F E0100; Adobe-Japan1;CID+2891
4F60 E0100; Adobe-Japan1;CID+2892
4F60 E0101; Adobe-Japan1;CID+16372
4F63 E0100; Adobe-Japan1;CID+2893
4F64 E0100; Adobe-Japan1;CID+2894
4F69 E0100; Adobe-Japan1;CID+2895
4F6A E0100; Adobe-Japan1;CID+2896
4F6C E0100; Adobe-Japan1;CID+2897
4F6E E0100; Adobe-Japan1;CID+2898
4F6F E0100; Adobe-Japan1;CID+2899
4F70 E0100; Adobe-Japan1;CID+2900
4F71 E0100; Adobe-Japan1;CID+2901
4F73 E0100; Adobe-Japan1;CID+2902
4F73 E0101; Adobe-Japan1;CID+16596
4F75 E0100; Adobe-Japan1;CID+2903
4F75 E0101; Adobe-Japan1;CID+16597
4F76 E0100; Adobe-Japan1;CID+2904
4F77 E0100; Adobe-Japan1;CID+2905
4F78 E0100; Adobe-Japan1;CID+2906
4F79 E0100; Adobe-Japan1;CID+2907
4F7A E0100; Adobe-Japan1;CID+2908
4F7B E0100; Adobe-Japan1;CID+2909
4F7C E0100; Adobe-Japan1;CID+2910
4F7D E0100; Adobe-Japan1;CID+2911
4F7E E0100; Adobe-Japan1;CID+2912
4F7F E0100; Adobe-Japan1;CID+2913
4F7F E0101; Adobe-Japan1;CID+16598
4F81 E0100; Adobe-Japan1;CID+2914
4F82 E0100; Adobe-Japan1;CID+2915
4F83 E0100; Adobe-Japan1;CID+2916
4F84 E0100; Adobe-Japan1;CID+2917
4F85 E0100; Adobe-Japan1;CID+2918
4F86 E0100; Adobe-Japan1;CID+2919
4F88 E0100; Adobe-Japan1;CID+2920
4F89 E0100; Adobe-Japan1;CID+2921
4F8A E0100; Adobe-Japan1;CID+2922
4F8B E0100; Adobe-Japan1;CID+2923
4F8C E0100; Adobe-Japan1;CID+2924
4F8D E0100; Adobe-Japan1;CID+2925
4F8E E0100; Adobe-Japan1;CID+2926
4F8F E0100; Adobe-Japan1;CID+2927
4F90 E0100; Adobe-Japan1;CID+2928
4F91 E0100; Adobe-Japan1;CID+2929
4F92 E0100; Adobe-Japan1;CID+2930
4F93 E0100; Adobe-Japan1;CID+2931
4F94 E0100; Adobe-Japan1;CID+2932
4F96 E0100; Adobe-Japan1;CID+2933
4F97 E0100; Adobe-Japan1;CID+2934
4F98 E0100; Adobe-Japan1;CID+2935
4F99 E0100; Adobe-Japan1;CID+2936
4F9A E0100; Adobe-Japan1;CID+2937
4F9B E0100; Adobe-Japan1;CID+2938
4F9D E0100; Adobe-Japan1;CID+2939
4F9E E0100; Adobe-Japan1;CID+2940
4F9F E0100; Adobe-Japan1;CID+2941
4FA0 E0100; Adobe-Japan1;CID+2942
4FA1 E0100; Adobe-Japan1;CID+2943
4FAB E0100; Adobe-Japan1;CID+2944
4FAD E0100; Adobe-Japan1;CID+2945
4FAE E0100; Adobe-Japan1;CID+2946
4FAE E0101; Adobe-Japan1;CID+15451
4FAF E0100; Adobe-Japan1;CID+2947
4FB2 E0100; Adobe-Japan1;CID+2948
4FB5 E0100; Adobe-Japan1;CID+2949
4FB5 E0101; Adobe-Japan1;CID+16599
4FB6 E0100; Adobe-Japan1;CID+2950
4FB7 E0100; Adobe-Japan1;CID+2951
4FB9 E0100; Adobe-Japan1;CID+2952
4FBB E0100; Adobe-Japan1;CID+2953
4FBC E0100; Adobe-Japan1;CID+2954
4FBD E0100; Adobe-Japan1;CID+2955
4FBE E0100; Adobe-Japan1;CID+2956
4FBF E0100; Adobe-Japan1;CID+2957
4FBF E0101; Adobe-Japan1;CID+16600
4FC0 E0100; Adobe-Japan1;CID+2958
4FC1 E0100; Adobe-Japan1;CID+2959
4FC2 E0100; Adobe-Japan1;CID+2960
4FC3 E0100; Adobe-Japan1;CID+2961
4FC4 E0100; Adobe-Japan1;CID+2962
4FC5 E0100; Adobe-Japan1;CID+2963
4FC6 E0100; Adobe-Japan1;CID+2964
4FC8 E0100; Adobe-Japan1;CID+2965
4FC9 E0100; Adobe-Japan1;CID+2966
4FCA E0100; Adobe-Japan1;CID+2967
4FCB E0100; Adobe-Japan1;CID+2968
4FCC E0100; Adobe-Japan1;CID+2969
4FCD E0100; Adobe-Japan1;CID+2970
4FCE E0100; Adobe-Japan1;CID+2971
4FCF E0100; Adobe-Japan1;CID+2972
4FD0 E0100; Adobe-Japan1;CID+2973
4FD1 E0100; Adobe-Japan1;CID+2974
4FD2 E0100; Adobe-Japan1;CID+2975
4FD3 E0100; Adobe-Japan1;CID+2976
4FD4 E0100; Adobe-Japan1;CID+2977
4FD7 E0100; Adobe-Japan1;CID+2978
4FD8 E0100; Adobe-Japan1;CID+2979
4FDA E0100; Adobe-Japan1;CID+2980
4FDB E0100; Adobe-Japan1;CID+2981
4FDC E0100; Adobe-Japan1;CID+2982
4FDD E0100; Adobe-Japan1;CID+2983
4FDF E0100; Adobe-Japan1;CID+2984
4FE0 E0100; Adobe-Japan1;CID+2985
4FE1 E0100; Adobe-Japan1;CID+2986
4FE2 E0100; Adobe-Japan1;CID+2987
4FE3 E0100; Adobe-Japan1;CID+2988
4FE4 E0100; Adobe-Japan1;CID+2989
4FE5 E0100; Adobe-Japan1;CID+2990
4FE6 E0100; Adobe-Japan1;CID+2991
4FEE E0100; Adobe-Japan1;CID+2992
4FEF E0100; Adobe-Japan1;CID+2993
4FF0 E0100; Adobe-Japan1;CID+2994
4FF1 E0100; Adobe-Japan1;CID+2995
4FF2 E0100; Adobe-Japan1;CID+2996
4FF3 E0100; Adobe-Japan1;CID+2997
4FF5 E0100; Adobe-Japan1;CID+2998
4FF6 E0100; Adobe-Japan1;CID+2999
4FF8 E0100; Adobe-Japan1;CID+3000
4FFA E0100; Adobe-Japan1;CID+3001
4FFC E0100; Adobe-Japan1;CID+3002
4FFD E0100; Adobe-Japan1;CID+3003
4FFE E0100; Adobe-Japan1;CID+3004
4FFF E0100; Adobe-Japan1;CID+3005
5000 E0100; Adobe-Japan1;CID+3006
5001 E0100; Adobe-Japan1;CID+3007
5002 E0100; Adobe-Japan1;CID+3008
